t,Year,Hare,Lynx,O,R,I,demand,S
1845,1845,19580.0,30090.0,9.883165587969813,0.0,0.0,9.883165587969813,9.883165587969813
1846,1846,19600.0,45150.0,9.883165587969813,-0.40578630428979956,0.0,10.288951892259613,10.288951892259613
1847,1847,19610.0,49150.0,9.883165587969813,-0.08488476425419655,0.0,9.96805035222401,9.96805035222401
1848,1848,11990.0,39520.0,9.719697807995182,0.1514748901585481,0.0,9.87117269815373,9.87117269815373
1849,1849,28040.0,21230.0,9.839060187836989,0.5547796725371512,0.0,10.39383986037414,10.39383986037414
1850,1850,58000.0,8420.0,10.200516727329786,0.788430765473354,0.05968118992090332,10.98894749280314,10.98894749280314
1851,1851,74600.0,5560.0,10.80984924184589,0.27864761160188145,0.11936237984180664,11.088496853447772,11.088496853447772
1852,1852,75090.0,5080.0,11.138193570681581,-0.25849389036657655,0.141415079908219,11.396687461048158,11.396687461048158
1853,1853,88480.0,10170.0,11.278969433322318,-1.4299542851501617,0.11936237984180664,12.70892371847248,12.70892371847248
1854,1854,61280.0,19600.0,11.213408077286132,-0.65604005169968,0.10316860933846161,11.869448128985812,11.869448128985812
1855,1855,74670.0,32910.0,11.211538439233324,-0.5182263630514097,0.10316860933846161,11.729764802284734,11.729764802284734
1856,1856,88060.0,34380.0,11.209952411385837,-0.04369713781544782,0.10316860933846161,11.253649549201285,11.253649549201285
1857,1857,68510.0,29590.0,11.247127235546008,0.8060738768675204,0.11198409904548612,12.053201112413529,12.053201112413529
1858,1858,32190.0,21300.0,10.966658939932437,0.41188967569901713,0.11198409904548612,11.378548615631454,11.378548615631454
1859,1859,12640.0,13690.0,10.319630854384632,0.44201533731852827,0.21062207912715447,10.76164619170316,10.76164619170316
1860,1860,21490.0,7650.0,9.9331774965598,0.5819023244019039,0.21062207912715447,10.515079820961704,10.515079820961704
1861,1861,30350.0,4080.0,9.913558348398254,0.6284943018260467,0.10316860933846161,10.542052650224301,10.542052650224301
1862,1862,2180.0,4090.0,9.327837677633612,-0.4444627198421216,0.13156559549932023,9.772300397475734,9.772300397475734
1863,1863,152650.0,14330.0,9.981344353383568,-1.2536355841286735,0.15882155988687163,11.234979937512241,11.234979937512241
1864,1864,148360.0,38220.0,10.510284029072933,-0.9809600797057918,0.3227164336120252,11.491244108778725,11.491244108778725
1865,1865,85810.0,60780.0,11.734405267801284,-0.46389213735209545,0.45769651675709877,12.19829740515338,12.19829740515338
1866,1866,41410.0,70770.0,11.299536026444384,-0.10648573171091691,0.36025123417321225,11.406021758155301,11.406021758155301
1867,1867,14750.0,72770.0,10.530090154490368,0.9530918677836535,0.3137044686931292,11.483182022274022,11.483182022274022
1868,1868,2280.0,42680.0,9.320912401122937,0.6439324214094668,0.37491336189623503,9.964844822532404,9.964844822532404
1869,1869,5910.0,16390.0,8.672001893062935,0.9570214526299168,0.37491336189623503,9.629023345692852,9.629023345692852
1870,1870,9950.0,9830.0,8.54078928357464,0.511191745322435,0.42613726458441104,9.051981028897075,9.051981028897075
1871,1871,10440.0,5800.0,9.047831423576547,0.5275103419008609,0.6382440059779615,9.575341765477408,9.575341765477408
1872,1872,70640.0,5260.0,9.874763320456102,-0.8593122588946596,0.6309005691182277,10.734075579350762,10.734075579350762
1873,1873,50120.0,18910.0,10.413685664893011,-1.2794226405964668,0.6309005691182277,11.693108305489478,11.693108305489478
1874,1874,50130.0,30950.0,10.93665207019412,-0.4926615454412122,0.6309005691182277,11.429313615635332,11.429313615635332
1875,1875,101250.0,31180.0,11.05664936019418,-0.00740362616991419,0.5365520346131261,11.064052986364095,11.064052986364095
1876,1876,97120.0,46340.0,11.277155207479112,-0.2532068038060462,0.36069280622651245,11.530362011285158,11.530362011285158
1877,1877,86510.0,45770.0,11.459032538902937,0.5050379410422607,0.3270895073947022,11.964070479945198,11.964070479945198
1878,1878,72170.0,44150.0,11.346177779129611,0.04343875211900361,0.31791058253721705,11.389616531248615,11.389616531248615
1879,1879,38320.0,36330.0,11.03619125412862,0.34780664189382193,0.31791058253721705,11.383997896022441,11.383997896022441
1880,1880,10110.0,12030.0,10.320642043004115,1.1051847192639563,0.31791058253721705,11.425826762268072,11.425826762268072
1881,1881,7740.0,12600.0,9.576472901357938,-0.04628952383616891,0.3800070641570654,9.622762425194107,9.622762425194107
1882,1882,9670.0,18340.0,9.11751745733769,-0.3753628150813384,0.3880422496239877,9.492880272419029,9.492880272419029
1883,1883,43120.0,35140.0,9.600979516443422,-0.683532380346449,0.3880422496239877,10.284511896789871,10.284511896789871
1884,1884,52210.0,43770.0,10.23723362392187,-0.21960295768825233,0.3880422496239877,10.456836581610123,10.456836581610123
1885,1885,134850.0,65690.0,11.115579873412011,-0.40599043216524144,0.47120875156298947,11.521570305577253,11.521570305577253
1886,1886,134860.0,79350.0,11.495658040395222,-0.18891911948174922,0.47120875156298947,11.684577159876971,11.684577159876971
1887,1887,103790.0,51650.0,11.724686727432704,0.648974450513272,0.47120875156298947,12.373661177945976,12.373661177945976
1888,1888,46100.0,32590.000000000004,11.366908119611386,0.46047337982475156,0.4722490320262258,11.827381499436138,11.827381499436138
1889,1889,15030.0,22450.0,10.635531491869722,0.37270102001161476,0.5995056351151176,11.008232511881337,11.008232511881337
1890,1890,24200.0,16160.0,10.150203056153916,0.32873422425957166,0.4961450734363888,10.478937280413488,10.478937280413488
1891,1891,41650.0,14120.0,10.116366634882972,-0.15999743972338898,0.4970163576498834,10.276364074606361,10.276364074606361
1892,1892,52340.0,20380.0,10.532255057421233,-0.739641063228742,0.3350452643746964,11.271896120649975,11.271896120649975
1893,1893,53780.0,33330.0,10.798430487527186,-0.4918848005656251,0.3350452643746964,11.290315288092811,11.290315288092811
1894,1894,70400.0,46000.0,10.97339118408722,-0.32217524051337065,0.2248624219046027,11.29556642460059,11.29556642460059
1895,1895,85810.0,51410.0,11.138180250966778,-0.11118902196358427,0.20695729412707742,11.249369272930362,11.249369272930362
1896,1896,56690.0,46430.0,11.155745325311846,0.49703755599187893,0.1564249879594044,11.652782881303725,11.652782881303725
1897,1897,16590.0,33680.0,10.673962962662728,0.33147944472886515,0.3119770189636357,11.005442407391593,11.005442407391593
1898,1898,6160.0,18010.0,9.795993595538691,0.6259511977898313,0.3491675997850452,10.421944793328523,10.421944793328523
1899,1899,2300.0,8860.0,8.727903043231096,0.7093230572897546,0.3491675997850452,9.437226100520851,9.437226100520851
1900,1900,12820.0,7130.0,8.641977733867547,0.21720814801899913,0.22870373679593126,8.859185881886546,8.859185881886546
1901,1901,4720.0,9470.0,8.553238247044783,-0.9097342189876283,0.25474818084223383,9.462972466032411,9.462972466032411
1902,1902,4730.0,14860.0,8.793502508910045,-0.6427481841109568,0.24179259672188813,9.436250693021002,9.436250693021002
1903,1903,37220.0,31470.0,9.148765397762803,-0.7503261550899101,0.24179259672188813,9.899091552852713,9.899091552852713
1904,1904,69720.0,60570.0,10.046259038453286,-0.6547497438135714,0.33194369286825065,10.701008782266857,10.701008782266857
1905,1905,57780.0,63510.0,10.880433506875276,-0.04739688856288993,0.41852262575093846,10.927830395438166,10.927830395438166
1906,1906,28680.0,54700.0,10.793554095041344,0.8996572835362358,0.41852262575093846,11.69321137857758,11.69321137857758
1907,1907,23370.0,6300.0,10.429218886341774,2.1611736398365604,0.3841659359577507,12.590392526178334,12.590392526178334
1908,1908,21540.0,3410.0,10.100318251005435,0.6137028475234096,0.30229973528241594,10.714021098528844,10.714021098528844
1909,1909,26340.0,5440.0,10.071948843685291,-0.46695736406728017,0.2845824486008004,10.538906207752571,10.538906207752571
1910,1910,53100.0,11650.0,10.345515451327088,-1.7551036193625542,0.22200118783776102,12.100619070689643,12.100619070689643
1911,1911,68480.0,20350.0,10.731048197535303,-0.5577380374926069,0.31453984433056714,11.28878623502791,11.28878623502791
1912,1912,75580.0,32880.0,11.0824076202622,-0.47976493262038744,0.370087424761385,11.562172552882588,11.562172552882588
1913,1913,57920.0,39550.0,11.111369037815372,-0.18469599499328204,0.23620607902107338,11.296065032808654,11.296065032808654
1914,1914,40970.0,43360.0,10.9401384260933,0.4657685962406095,0.30123362148906807,11.40590702233391,11.40590702233391
1915,1915,24950.0,40830.0,10.570708083662419,0.5398837553896509,0.28899351244091687,11.11059183905207,11.11059183905207
1916,1916,12590.0,30360.0,10.062008836961676,0.2962827067654157,0.2670827660441182,10.358291543727091,10.358291543727091
1917,1917,4970.0,17180.0,9.35892767954439,0.5693547679815687,0.3214984750363392,9.928282447525959,9.928282447525959
1918,1918,4500.0,6820.0,8.788056243796435,0.9237980334072464,0.39113292717127024,9.711854277203681,9.711854277203681
1919,1919,11210.0,3190.0,8.749360632513733,0.679935648087076,0.39113292717127024,9.42929628060081,9.42929628060081
1920,1920,56600.0,3520.0,9.560162507775416,-0.6677654608583765,0.43002933471382043,10.227927968633793,10.227927968633793
1921,1921,69630.0,9940.0,10.47313259983084,-1.5850590819069144,0.43002933471382043,12.058191681737755,12.058191681737755
1922,1922,77740.0,20300.0,11.11862838301773,-0.7140025266881889,0.4348222297219628,11.83263090970592,11.83263090970592
1923,1923,80530.0,31990.0,11.236166899872828,-0.45478446732333033,0.4348222297219628,11.690951367196158,11.690951367196158
1924,1924,73380.0,42360.0,11.253651958555722,-0.2807735143896135,0.5291800649244456,11.534425472945335,11.534425472945335
1925,1925,36930.0,49080.0,11.005541464563018,0.5667586597860605,0.5291800649244456,11.572300124349079,11.572300124349079
1926,1926,4640.0,53990.0,10.054304016828407,0.35943909584942446,0.6081836094674227,10.413743112677832,10.413743112677832
1927,1927,2540.0,52250.0,8.933268236099165,0.31353185097903236,0.6081836094674227,9.246800087078197,9.246800087078197
1928,1928,1800.0,37700.0,7.926365155912431,0.3263724101166403,0.7387541055241904,8.252737566029072,8.252737566029072
1929,1929,2390.0,19140.0,7.705292431984815,0.6778539880371444,0.7983666154607505,8.383146420021959,8.383146420021959
1930,1930,4230.0,6980.0,7.875252654451448,1.0086404582757087,0.5095218354491227,8.883893112727158,8.883893112727158
1931,1931,19520.0,8310.0,8.669635568780494,-0.290929273912651,0.5095218354491227,8.960564842693145,8.960564842693145
1932,1932,82110.0,16010.000000000002,9.848422336098798,-1.333550035486173,0.5605988351006221,11.18197237158497,11.18197237158497
1933,1933,89760.0,24820.0,10.86665973969692,-0.4384140830335568,0.8728101810318285,11.305073822730476,11.305073822730476
1934,1934,81660.0,29700.0,11.343688313874623,-0.17949064622202648,0.8728101810318285,11.523178960096649,11.523178960096649
1935,1935,15760.0,35400.0,10.793510495128727,-0.17555935305281345,0.8728101810318285,10.96906984818154,10.96906984818154
