t,O,R,I,demand,cases,deaths,popData2019,S
2020-01-13,0.24170827562756003,0.0,0.0,1.06498885,0,0,11455519.0,1.06498885
2020-01-14,0.24170827562756003,-0.0,0.0,0.0,0,0,11455519.0,0.0
2020-01-15,0.24170827562756003,-0.0,0.0,0.0,0,0,11455519.0,0.0
2020-01-16,0.18128120672067002,0.06042706890689001,0.0,0.0,0,0,11455519.0,0.0
2020-01-17,0.14502496537653603,0.036256241344133994,0.0,0.0,0,0,11455519.0,0.0
2020-01-18,0.12085413781378002,0.024170827562756014,0.0,0.0,0,0,11455519.0,0.0
2020-01-19,0.10358926098324002,0.017264876830539996,0.0,0.0,0,0,11455519.0,0.0
2020-01-20,0.0,0.10358926098324002,0.0,0.0,0,0,11455519.0,0.0
2020-01-21,0.0,-0.0,0.0,0.0,0,0,11455519.0,0.0
2020-01-22,0.0,-0.0,0.0,0.0,0,0,11455519.0,0.0
2020-01-23,0.0,-0.0,0.0,0.0,0,0,11455519.0,0.0
2020-01-24,0.0,-0.0,0.0,0.0,0,0,11455519.0,0.0
2020-01-25,0.0,-0.0,0.0,0.0,0,0,11455519.0,0.0
2020-01-26,0.0,-0.0,0.0,0.0,0,0,11455519.0,0.0
2020-01-27,0.0,-0.0,0.0,0.0,0,0,11455519.0,0.0
2020-01-28,0.0,-0.0,0.0,0.0,0,0,11455519.0,0.0
2020-01-29,0.0,-0.0,0.0,0.0,0,0,11455519.0,0.0
2020-01-30,0.0,-0.0,0.0,0.0,0,0,11455519.0,0.0
2020-01-31,0.0,-0.0,0.0,0.0,0,0,11455519.0,0.0
2020-02-01,0.0,-0.0,0.0,0.0,0,0,11455519.0,0.0
2020-02-02,0.0,-0.0,0.0,0.0,0,0,11455519.0,0.0
2020-02-03,0.0,-0.0,0.0,0.0,0,0,11455519.0,0.0
2020-02-04,0.0,-0.0,0.0,0.0,1,0,11455519.0,0.0
2020-02-05,0.0012416484152742125,-0.0012416484152742125,0.0,0.00872942,0,0,11455519.0,0.00872942
2020-02-06,0.002483296830548425,-0.0012416484152742125,0.0,0.00872942,0,0,11455519.0,0.00872942
2020-02-07,0.0037249452458226373,-0.0012416484152742123,0.0,0.00872942,0,0,11455519.0,0.00872942
2020-02-08,0.00496659366109685,-0.0012416484152742127,0.0,0.00872942,0,0,11455519.0,0.00872942
2020-02-09,0.006208242076371063,-0.0012416484152742132,0.0,0.00872942,0,0,11455519.0,0.00872942
2020-02-10,0.007449890491645275,-0.0012416484152742114,0.0,0.00872942,0,0,11455519.0,0.00872942
2020-02-11,0.008691538906919488,-0.0012416484152742132,0.0,0.00872942,0,0,11455519.0,0.00872942
2020-02-12,0.008691538906919488,-0.0,0.0,0.00872942,0,0,11455519.0,0.00872942
2020-02-13,0.008691538906919488,0.0006208242076371061,0.0,0.00872942,0,0,11455519.0,0.00872942
2020-02-14,0.008691538906919488,0.0006208242076371061,0.0,0.00872942,0,0,11455519.0,0.00872942
2020-02-15,0.008691538906919488,0.0006208242076371061,0.0,0.00872942,0,0,11455519.0,0.00872942
2020-02-16,0.008691538906919488,0.0006208242076371061,0.0,0.00872942,0,0,11455519.0,0.00872942
2020-02-17,0.008691538906919488,0.0006208242076371061,0.0,0.00872942,0,0,11455519.0,0.00872942
2020-02-18,0.008691538906919488,0.0006208242076371061,0.0,0.00872942,0,0,11455519.0,0.00872942
2020-02-19,0.007449890491645275,0.0018624726229113202,0.0,0.0,0,0,11455519.0,0.0
2020-02-20,0.006208242076371063,0.0018624726229113176,0.0003104121038185531,0.0,0,0,11455519.0,0.0
2020-02-21,0.004966593661096851,0.0012416484152742132,0.0006208242076371061,0.0,0,0,11455519.0,0.0
2020-02-22,0.0037249452458226378,0.0012416484152742123,0.0006208242076371061,0.0,0,0,11455519.0,0.0
2020-02-23,0.002483296830548425,0.0006208242076371066,0.0006208242076371061,0.0,0,0,11455519.0,0.0
2020-02-24,0.0012416484152742125,0.0006208242076371066,0.0006208242076371061,0.0,0,0,11455519.0,0.0
2020-02-25,0.0,0.0012416484152742123,0.0006208242076371061,0.0,0,0,11455519.0,0.0
2020-02-26,0.0,-4.336808689942018e-19,0.0006208242076371061,0.0,0,0,11455519.0,0.0
2020-02-27,0.0,-0.0006208242076371061,0.0006208242076371061,0.0,0,0,11455519.0,0.0
2020-02-28,0.0,-0.0006208242076371061,0.0006208242076371061,0.0,0,0,11455519.0,0.0
2020-02-29,0.0,-0.0,0.0006208242076371061,0.0,0,0,11455519.0,0.0
2020-03-01,0.0,-0.0,0.0006208242076371061,0.0,18,0,11455519.0,0.0
2020-03-02,0.02084890990665427,-0.02084890990665427,0.0006208242076371064,0.1571295,0,0,11455519.0,0.1571295
2020-03-03,0.04169781981330854,-0.02084890990665427,0.0006208242076371066,0.1571295,19,0,11455519.0,0.1571295
2020-03-04,0.08168255299331499,-0.03936390897236935,0.000931236311455659,0.32298842,34,0,11455519.0,0.32298842
2020-03-05,0.15058193024023311,-0.068278553039281,0.0012416484152742119,0.61978859,53,0,11455519.0,0.61978859
2020-03-06,0.25537392611077553,-0.10479199587054244,0.0012416484152742119,1.08244768,81,0,11455519.0,1.08244768
2020-03-07,0.4019272519098884,-0.14655332579911284,0.0012416484152742119,1.78953044,110,0,11455519.0,1.78953044
2020-03-08,0.5907406112489619,-0.1881925351314364,0.0012416484152742119,2.74976629,27,0,11455519.0,2.74976629
2020-03-09,0.7674135408359103,-0.17667292958694836,0.0012416484152742119,2.98546055,64,0,11455519.0,2.98546055
2020-03-10,0.9628273737018372,-0.19541383286592695,0.0012416484152742119,3.54414322,94,1,11455519.0,3.54414322
2020-03-11,1.1628200722821458,-0.19999269858030866,0.0012416484152742123,4.3647084,99,0,11455519.0,4.3647084
2020-03-12,1.3552354191772145,-0.19241534689506867,0.0012416484152742123,5.22892066,174,3,11455519.0,5.22892066
2020-03-13,1.5429311362060727,-0.18769571702885823,0.001241648415274213,6.74783919,251,1,11455519.0,6.74783919
2020-03-14,1.724443331060485,-0.18151219485441228,0.0018624726229113184,8.9389228,338,3,11455519.0,8.9389228
2020-03-15,1.9008314522647445,-0.1763881212042595,0.002483296830548425,11.88946568,179,5,11455519.0,11.88946568
2020-03-16,2.0832957491735384,-0.18184347270115686,0.012286927576238454,13.29490178,214,6,11455519.0,13.29490178
2020-03-17,2.2645650767696934,-0.18064850338851768,0.022400970425747034,15.16299698,387,12,11455519.0,15.16299698
2020-03-18,2.4480169841847528,-0.18283108320742247,0.031968882062423126,18.37542236,422,10,11455519.0,18.37542236
2020-03-19,2.6331467796031056,-0.18450897121071552,0.055373291524917934,21.76243608,535,22,11455519.0,21.76243608
2020-03-20,2.811334165644197,-0.17756656183345454,0.08777692287018593,25.97001498,713,33,11455519.0,25.97001498
2020-03-21,2.9805315315632996,-0.1685765417114653,0.06824192904567017,31.48700639,662,35,11455519.0,31.48700639
2020-03-22,3.132350714087761,-0.1511983583168246,0.045310918497692254,36.30564447,469,40,11455519.0,36.30564447
2020-03-23,3.2834453237163244,-0.15109460962856325,0.04276810590780389,40.16404669,486,47,11455519.0,40.16404669
2020-03-24,3.4292383798754176,-0.14579305615909322,0.03915745704055862,43.84786058,1328,78,11455519.0,43.84786058
2020-03-25,3.5798864901287324,-0.15064811025331482,0.0367976421074534,54.61996091,1195,77,11455519.0,54.61996091
2020-03-26,3.730194288441085,-0.15030779831235241,0.034955860147092954,64.18740172,1199,107,11455519.0,64.18740172
2020-03-27,3.8746461156522045,-0.1444518272111197,0.032523543236375074,73.13505394,1363,102,11455519.0,73.13505394
2020-03-28,4.0100883788288515,-0.13544226317664654,0.031190793981595744,82.84216542,1520,128,11455519.0,82.84216542
2020-03-29,4.142353291788127,-0.12618622745940833,0.030531349805090646,93.16033608,845,141,11455519.0,93.16033608
2020-03-30,4.269117035644802,-0.1102606034034812,0.030531349805090646,98.97412767,685,149,11455519.0,98.97412767
2020-03-31,4.389393971224188,-0.0898601140360551,0.030531349805090646,103.08568298,1739,170,11455519.0,103.08568298
2020-04-01,4.494262657773116,-0.050426631335465544,0.030531349805090646,114.88785449,1683,208,11455519.0,114.88785449
2020-04-02,4.589419638175129,-0.008311293843282996,0.030531349805090646,125.89564908,1517,233,11455519.0,125.89564908
2020-04-03,4.6755405663609855,0.03955173264897116,0.030531349805090646,134.46793637,1479,219,11455519.0,134.46793637
2020-04-04,4.750966229132481,0.0922576797975978,0.030531349805090646,141.15466964,1694,236,11455519.0,141.15466964
2020-04-05,4.818589446637683,0.11511992695780915,0.030531349805090646,150.16342778,923,271,11455519.0,150.16342778
2020-04-06,4.881350877913813,0.12328194995030728,0.031190793981595744,154.126583,667,247,11455519.0,154.126583
2020-04-07,4.939802432185229,0.1392517114517018,0.031465918013350636,155.70660744,1937,257,11455519.0,155.70660744
2020-04-08,4.987675896710448,0.14833055821246965,0.03319207292623538,161.02282227,1515,277,11455519.0,161.02282227
2020-04-09,5.025028188423822,0.15270324024858972,0.03561959997334618,163.81623565,1599,322,11455519.0,163.81623565
2020-04-10,5.056036855274003,0.15359528909145403,0.037214836269183205,167.30800237,2240,272,11455519.0,167.30800237
2020-04-11,5.086517146879003,0.14846986642433624,0.04239023276040654,174.9637009,2336,302,11455519.0,174.9637009
2020-04-12,5.113888486329805,0.15205486960572445,0.050863588459757136,182.08690501,1032,284,11455519.0,182.08690501
2020-04-13,5.138830766270443,0.15692453231183645,0.0641138625228449,183.71930595,524,265,11455519.0,183.71930595
2020-04-14,5.161234266958672,0.1599571168173779,0.08227691923452152,182.31386985,538,277,11455519.0,182.31386985
2020-04-15,5.170458599057121,0.175066519318257,0.11010011801874442,171.82984027,1561,261,11455519.0,171.82984027
2020-04-16,5.176357923142468,0.17575926664437613,0.14184823433463722,170.76485142,1633,280,11455519.0,170.76485142
2020-04-17,5.180102034792974,0.16994826432959087,0.1415553798856224,171.77746377,1675,246,11455519.0,171.77746377
2020-04-18,5.178899278185005,0.1617110308297507,0.10660268560063946,173.48842946,1395,205,11455519.0,173.48842946
2020-04-19,5.169874411647645,0.16048176261387237,0.06881858844622046,170.87833384,722,208,11455519.0,170.87833384
2020-04-20,5.158115631013897,0.16020261352757625,0.053306453369865725,169.12372106,444,190,11455519.0,169.12372106
2020-04-21,5.145803851038684,0.16053236318141728,0.038845292265996534,167.17706112,1278,206,11455519.0,167.17706112
2020-04-22,5.136933134380241,0.15934867094127636,0.02741416868589086,161.42437545,1270,203,11455519.0,161.42437545
2020-04-23,5.127051884637681,0.15726106250429606,0.023333157189641796,159.28566833,778,181,11455519.0,159.28566833
2020-04-24,5.10979613788846,0.15720279194310427,0.015567279564640435,152.11881714,976,156,11455519.0,152.11881714
2020-04-25,5.0804484052181555,0.16320132073826565,0.011974804643281933,141.08483431,811,155,11455519.0,141.08483431
2020-04-26,5.039199864092914,0.17076286953321773,0.011974804643281933,127.77247369,388,142,11455519.0,127.77247369
2020-04-27,4.993040307386786,0.16967989642415837,0.01118069787956677,122.15072927,205,154,11455519.0,122.15072927
2020-04-28,4.945257467067016,0.16035565138392638,0.008663449809067414,119.36604531,755,135,11455519.0,119.36604531
2020-04-29,4.904677481641367,0.1405928189011192,0.008663449809067414,121.26032876,569,110,11455519.0,121.26032876
2020-04-30,4.855496400813711,0.13982003512159125,0.008663449809067414,112.60074729,522,107,11455519.0,112.60074729
2020-05-01,4.800101752200653,0.13616794409173405,0.008663449809067414,102.90236523,586,87,11455519.0,102.90236523
2020-05-02,4.741683854592911,0.09148954172370427,0.008663449809067414,93.39603033,237,93,11455519.0,93.39603033
2020-05-03,4.681138840767594,0.060545013825317184,0.008663449809067414,83.28736568,286,75,11455519.0,83.28736568
2020-05-04,4.620369742119524,0.060769098648069786,0.008663449809067414,79.48133996,140,94,11455519.0,79.48133996
2020-05-05,4.558078115165211,0.06229162695431345,0.008663449809067414,76.82759725,670,95,11455519.0,76.82759725
2020-05-06,4.483465445782707,0.07461266938250422,0.008663449809067414,71.52011183,547,81,11455519.0,71.52011183
2020-05-07,4.4063400810094695,0.07712536477323706,0.008663449809067414,65.20874349,552,76,11455519.0,65.20874349
2020-05-08,4.337641582264318,0.06869849874515133,0.010605014999911067,63.23589529,442,71,11455519.0,63.23589529
2020-05-09,4.271888254836117,0.06575332742820095,0.01275041824940426,58.57438672,483,74,11455519.0,58.57438672
2020-05-10,4.21527949034218,0.05660876449393726,0.01329190480393394,55.71113801,240,71,11455519.0,55.71113801
2020-05-11,4.161979556847816,0.05329993349436357,0.015085025316049272,54.41918433,118,72,11455519.0,54.41918433
2020-05-12,4.111498279956484,0.05048127689133253,0.016857235116115143,53.65972506,476,65,11455519.0,53.65972506
2020-05-13,4.064595765885552,0.04690251407093182,0.021457761509292572,51.22421778,395,45,11455519.0,51.22421778
2020-05-14,4.0264840367029215,0.038111729182630505,0.03270826741438215,49.70529925,321,56,11455519.0,49.70529925
2020-05-15,3.987662782684253,0.03882125401866876,0.035267078482134284,47.95068648,305,43,11455519.0,47.95068648
2020-05-16,3.952259576712047,0.03540320597220559,0.04797885170077487,45.49772036,347,45,11455519.0,45.49772036
2020-05-17,3.92681294206052,0.02544663465152741,0.05038236905976423,46.4579562,147,30,11455519.0,46.4579562
2020-05-18,3.9009583950993547,0.02585454696116507,0.04524014061118531,45.24456727,81,31,11455519.0,45.24456727
2020-05-19,3.8754751302642476,0.0254832648351071,0.04102670759714244,44.72953168,317,37,11455519.0,44.72953168
2020-05-20,3.8465372966948825,0.02893783356936508,0.035055393315890804,41.64804755,292,33,11455519.0,41.64804755
2020-05-21,3.8141579979521465,0.03237929874273604,0.030131224833786385,39.42204626,385,30,11455519.0,39.42204626
2020-05-22,3.7815623903412736,0.03259560761087288,0.02904290962438716,37.96423366,70,34,11455519.0,37.96423366
2020-05-23,3.743879592677233,0.03768279766404081,0.026657649445154252,34.71689061,248,41,11455519.0,34.71689061
2020-05-24,3.694826553258942,0.049053039418290645,0.02203388734150402,32.66547766,123,25,11455519.0,32.66547766
2020-05-25,3.6450724449824525,0.04975410827648963,0.019604731705149314,31.6441359,75,33,11455519.0,31.6441359
2020-05-26,3.595266105391379,0.04980633959107372,0.01664764638647287,31.26877097,314,26,11455519.0,31.26877097
2020-05-27,3.5490238953913686,0.046242210000010164,0.01517506072799768,29.85460545,202,24,11455519.0,29.85460545
2020-05-28,3.502418117120492,0.04660577827087664,0.013444210491053932,28.16982801,182,24,11455519.0,28.16982801
2020-05-29,3.454990033105184,0.04742808401530807,0.012304414645136319,26.95643908,171,26,11455519.0,26.95643908
2020-05-30,3.4138874172006184,0.006188921722122043,0.0126829463379321,25.78669722,165,16,11455519.0,25.78669722
2020-05-31,3.3725001983956955,-0.019269837431770576,0.01349175719357354,24.19794337,61,23,11455519.0,24.19794337
2020-06-01,3.331193199577546,-0.020223363983042475,0.013902910065789253,23.44721352,49,22,11455519.0,23.44721352
2020-06-02,3.2898966618287444,-0.027155610419606457,0.013936540958638943,23.16787218,59,21,11455519.0,23.16787218
2020-06-03,3.241027584517641,-0.026999939766767067,0.012181049962499246,20.91568265,183,23,11455519.0,20.91568265
2020-06-04,3.1938390415186526,-0.02572338876020641,0.012313364965083728,19.96417622,159,20,11455519.0,19.96417622
2020-06-05,3.138601170572078,-0.01198804214010174,0.012228357525199574,17.99132802,172,14,11455519.0,17.99132802
2020-06-06,3.096014849750017,-0.01859472513900773,0.012860572029266937,18.88172854,154,12,11455519.0,18.88172854
2020-06-07,3.0561420717791874,-0.015081571023320972,0.015404167055850904,18.06116336,69,11,11455519.0,18.06116336
2020-06-08,3.0170128499714415,-0.012761383385102132,0.016916120670585677,17.58977485,53,12,11455519.0,17.58977485
2020-06-09,2.978041850839701,-0.009720896349392216,0.018745007691339577,17.39772768,153,9,11455519.0,17.39772768
2020-06-10,2.9416928967638825,-0.006158167550961657,0.0214320588480843,15.99229158,145,12,11455519.0,15.99229158
2020-06-11,2.9074393151799542,-0.004212910016721416,0.022571655818663272,15.49471482,119,12,11455519.0,15.49471482
2020-06-12,2.8824604425329596,-0.012133357348442786,0.02393862410407288,14.94476156,95,7,11455519.0,14.94476156
2020-06-13,2.8448647862593064,0.007170735961786523,0.02836938505092923,14.28132588,89,10,11455519.0,14.28132588
2020-06-14,2.8069495294503217,0.012264666002638425,0.023838589317096925,13.61789021,49,5,11455519.0,13.61789021
2020-06-15,2.771584181268472,0.00969644228371358,0.023730434883028506,13.5131372,22,3,11455519.0,13.5131372
2020-06-16,2.735363283327724,0.009010348738512253,0.023730434883028506,13.27744295,147,8,11455519.0,13.27744295
2020-06-17,2.7179815529230162,-0.013276835751343086,0.023766279354186404,14.04563163,99,7,11455519.0,14.04563163
2020-06-18,2.6977077711045525,-0.012213671358340505,0.019920287138089465,13.31236062,123,7,11455519.0,13.31236062
2020-06-19,2.6791065389172615,-0.01653797045016603,0.014538934294954453,12.99810161,108,5,11455519.0,12.99810161
2020-06-20,2.660758045817871,-0.025019425441775045,0.016030074300326325,12.43941894,121,4,11455519.0,12.43941894
2020-06-21,2.6456549231230015,-0.03430045115252067,0.015507195018739761,12.15134818,50,3,11455519.0,12.15134818
2020-06-22,2.6297661046941907,-0.03389140550497105,0.014300964519214476,11.98548927,20,9,11455519.0,11.98548927
2020-06-23,2.613011508997416,-0.03126967909876699,0.014188149910095094,11.69741851,143,12,11455519.0,11.69741851
2020-06-24,2.5877846973455836,-0.021197182483611243,0.01288387972926941,11.61012434,110,4,11455519.0,11.61012434
2020-06-25,2.5661917268609407,-0.025423960658449207,0.012202583481889517,11.30459475,100,3,11455519.0,11.30459475
2020-06-26,2.545831716472143,-0.023905339571139272,0.010403257712526814,11.13873584,76,5,11455519.0,11.13873584
2020-06-27,2.5293248213801727,-0.024738022262773995,0.009411922313368626,10.97287692,113,2,11455519.0,10.97287692
2020-06-28,2.5183914797544475,-0.030413767185811125,0.007851532154528496,11.18238292,41,8,11455519.0,11.18238292
2020-06-29,2.5084499629220103,-0.03136025145103849,0.006871581541116889,11.11254759,24,5,11455519.0,11.11254759
2020-06-30,2.5019190409717544,-0.03855188557969624,0.0075059488133326635,11.13000642,127,3,11455519.0,11.13000642
2020-07-01,2.4943025496980615,-0.040412318881353215,0.007835254067037223,10.95541808,100,8,11455519.0,10.95541808
2020-07-02,2.4902942239566896,-0.047204881231409423,0.009041484566562508,10.9641475,135,2,11455519.0,10.9641475
2020-07-03,2.489469979517558,-0.048087851445186125,0.010346435418209454,11.0689005,93,5,11455519.0,11.0689005
2020-07-04,2.4890527425726114,-0.040812312451498745,0.010945769330979571,10.93795925,94,2,11455519.0,10.93795925
2020-07-05,2.4833086750910054,-0.03375693240768207,0.010811787529619643,10.702265,64,3,11455519.0,10.702265
2020-07-06,2.4798700728745757,-0.035611508253313495,0.011425062434105682,10.82447683,24,2,11455519.0,10.82447683
2020-07-07,2.476646942314759,-0.034436846043962355,0.011859614284051911,10.8593945,112,1,11455519.0,10.8593945
