t,O,R,I,Cap,demand,Sigma,Sigma_symbolic,S,V,C,intervention,delta_C,threshold_value,threshold_hit,cap_scale_used,demand_to_cap_ratio,S_is_observed,step
0,0.01,0.01,0.01,0.0010000000000000002,0.0,0.0,0.0,0.0,1.0,7.320000000000006,real,0.0,0.07121593319413921,0,1000.0,0.9,True,0
1,0.01,0.01,0.01,0.0010000000000000002,0.0,0.0,0.0,0.0,1.0,7.2000000000000055,real,-0.12,0.07121593319413921,0,1000.0,0.9,True,1
2,0.01,0.01,0.01,0.0010000000000000002,0.0,0.0,0.0,0.0,1.0,7.080000000000005,real,-0.12,0.07121593319413921,0,1000.0,0.9,True,2
3,0.01,0.01,0.01,0.0010000000000000002,0.0,0.0,0.0,0.0,1.0,6.960000000000006,real,-0.12,0.07121593319413921,0,1000.0,0.9,True,3
4,0.01,0.01,0.01,0.0010000000000000002,0.0007032348804499,0.0,0.0,0.0,1.0,6.840000000000006,real,-0.12,0.07121593319413921,0,1000.0,0.9,True,4
5,0.01,0.01,0.01,0.0010000000000000002,0.0147679324894513,0.013767932489451299,0.013767932489451299,0.0,0.0,6.840000000000006,real,0.0,0.07121593319413921,0,1000.0,0.9,True,5
6,0.01,0.01,0.01,0.0010000000000000002,0.0288326300984528,0.0278326300984528,0.0278326300984528,0.0,0.0,6.840000000000006,real,0.0,0.07121593319413921,0,1000.0,0.9,True,6
7,0.01,0.0234137532946995,0.01,0.00234137532946995,0.042897327707454,0.040555952377984046,0.040555952377984046,0.0,0.0,6.840000000000006,real,0.0,0.07121593319413921,0,1000.0,0.9,True,7
8,0.01,0.0166209394914925,0.01,0.0016620939491492502,0.0569620253164555,0.05529993136730625,0.05529993136730625,0.0,0.0,6.840000000000006,real,0.0,0.07121593319413921,0,1000.0,0.9,True,8
9,0.01,0.0199031511989659,0.01,0.00199031511989659,0.071026722925457,0.06903640780556042,0.06903640780556042,0.0,0.0,6.840000000000006,real,0.0,0.07121593319413921,0,1000.0,0.9,True,9
10,0.01,0.0355485067487553,0.01,0.0035548506748755305,0.0850914205344584,0.08153656985958287,0.08153656985958287,0.0,0.0,6.840000000000006,real,0.0,0.07121593319413921,0,1000.0,0.9,True,10
11,0.01,0.0399408600472021,0.01,0.00399408600472021,0.0991561181434599,0.0951620321387397,0.0951620321387397,0.0,0.0,6.840000000000006,real,0.0,0.07121593319413921,0,1000.0,0.9,True,11
12,0.01,0.0579531273823512,0.1018533695085206,0.059027212974489804,0.1132208157524611,0.05419360277797129,0.05419360277797129,0.0,0.0,6.840000000000006,real,0.0,0.07121593319413921,0,1000.0,0.9,True,12
13,0.01,0.0814086068810882,0.1969604772370003,0.1603427806249848,0.1272855133614626,0.0,0.0,0.0,1.0,6.720000000000006,real,-0.12,0.07121593319413921,0,1000.0,0.9,True,13
14,0.01,0.1092950202073012,0.0547584738989267,0.05984828511304169,0.1413502109704641,0.08150192585742241,0.08150192585742241,0.0,0.0,6.720000000000006,real,0.0,0.07121593319413921,0,1000.0,0.9,True,14
15,0.01,0.1034194570437865,0.0627517297099124,0.06489749815157586,0.1554149085794655,0.09051741042788963,0.09051741042788963,0.0,0.0,6.720000000000006,real,0.0,0.07121593319413921,0,1000.0,0.9,True,15
16,0.01,0.1167625456239214,0.0272039964196389,0.031764078731010816,0.1694796061884667,0.13771552745745588,0.13771552745745588,0.0,0.0,6.720000000000006,real,0.0,0.07121593319413921,0,1000.0,0.9,True,16
17,0.01,0.1070209568990676,0.01,0.010702095689906762,0.1835443037974682,0.17284220810756143,0.17284220810756143,0.0,0.0,6.720000000000006,real,0.0,0.07121593319413921,0,1000.0,0.9,True,17
18,0.01,0.118331570912588,0.01,0.011833157091258801,0.1976090014064697,0.1857758443152109,0.1857758443152109,0.0,0.0,6.720000000000006,real,0.0,0.07121593319413921,0,1000.0,0.9,True,18
19,0.01,0.1150833055183346,0.01,0.01150833055183346,0.2116736990154712,0.20016536846363775,0.20016536846363775,0.0,0.0,6.720000000000006,real,0.0,0.07121593319413921,0,1000.0,0.9,True,19
20,0.01,0.1348305366369561,0.01,0.013483053663695609,0.2257383966244726,0.21225534296077697,0.21225534296077697,0.0,0.0,6.720000000000006,real,0.0,0.07121593319413921,0,1000.0,0.9,True,20
21,0.01,0.1433407662233975,0.01,0.014334076622339752,0.2398030942334738,0.22546901761113403,0.22546901761113403,0.0,0.0,6.720000000000006,real,0.0,0.07121593319413921,0,1000.0,0.9,True,21
22,0.01,0.140796967387335,0.01,0.014079696738733499,0.2538677918424753,0.23978809510374183,0.23978809510374183,0.0,0.0,6.720000000000006,real,0.0,0.07121593319413921,0,1000.0,0.9,True,22
23,0.01,0.1425931040275095,0.01,0.01425931040275095,0.2679324894514768,0.2536731790487258,0.2536731790487258,0.0,0.0,6.720000000000006,real,0.0,0.07121593319413921,0,1000.0,0.9,True,23
24,0.0101583384510446,0.1296579696093951,0.4487157183422128,0.5910077525542057,0.281997187060478,0.0,0.0,0.0,1.0,6.600000000000006,real,-0.12,0.07121593319413921,0,1000.0,0.9,True,24
25,0.0120725434927435,0.1255985154463151,0.6547294252998128,0.9927619982589482,0.2960618846694794,0.0,0.0,0.0,1.0,6.480000000000006,real,-0.12,0.07121593319413921,0,1000.0,0.9,True,25
26,0.0118084382936118,0.1536313142200092,0.7831784536771805,1.4207999759556167,0.3101265822784809,0.0,0.0,0.0,1.0,6.360000000000006,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,26
27,0.1147713431521968,0.1606027636070043,0.8100795967575649,14.931869038222812,0.3241912798874824,0.0,0.0,0.0,1.0,6.2400000000000055,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,27
28,0.1226379603486897,0.1878694923651082,0.3147498996014057,7.251816080935618,0.3382559774964839,0.0,0.0,0.0,1.0,6.120000000000005,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,28
29,0.134439530191138,0.2038062732486516,0.4243000079542085,11.62565882506545,0.3523206751054853,0.0,0.0,0.0,1.0,6.000000000000005,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,29
30,0.1351386422570918,0.2035116042049702,0.6405181236552249,17.615709983338814,0.3663853727144865,0.0,0.0,0.0,1.0,5.880000000000005,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,30
31,0.2363826921578236,0.212589384823938,0.7055725051847854,35.456747820552906,0.380450070323488,0.0,0.0,0.0,1.0,5.760000000000005,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,31
32,0.2504349054341248,0.2140914989530938,0.644251814522091,34.54219516916341,0.3945147679324895,0.0,0.0,0.0,1.0,5.640000000000005,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,32
33,0.2598328757119489,0.2220832701446935,0.7077506949949353,40.840424558957274,0.4085794655414906,0.0,0.0,0.0,1.0,5.520000000000005,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,33
34,0.2673396384220961,0.2470778377822409,0.7352920721568642,48.56876181046472,0.4226441631504921,0.0,0.0,0.0,1.0,5.400000000000005,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,34
35,0.2731600821808452,0.2564848910250521,0.7277725404344988,50.98878774356352,0.4367088607594936,0.0,0.0,0.0,1.0,5.280000000000005,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,35
36,0.2827761167117265,0.2742209369611017,0.6964277643928042,54.00318983637545,0.4507735583684951,0.0,0.0,0.0,1.0,5.160000000000005,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,36
37,0.3839247197738329,0.2845215065102501,0.7989554190770828,87.27376709563805,0.4648382559774966,0.0,0.0,0.0,1.0,5.0400000000000045,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,37
38,0.3854573854134198,0.2972625627598663,0.8243627954711982,94.45717923241499,0.4789029535864981,0.0,0.0,0.0,1.0,4.920000000000004,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,38
39,0.3908868265881013,0.3051958831854636,0.7924232823732259,94.53376014932152,0.4929676511954992,0.0,0.0,0.0,1.0,4.800000000000004,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,39
40,0.4838234172582269,0.3297668995923881,0.7286823033434109,116.26049511370728,0.5070323488045008,0.0,0.0,0.0,1.0,4.680000000000004,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,40
41,0.4898392927531977,0.3454789186207205,0.6294209440398255,106.51637082228197,0.5210970464135022,0.0,0.0,0.0,1.0,4.560000000000004,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,41
42,0.4964401953367209,0.3474278938432446,0.6104869836991106,105.29506817681106,0.5351617440225034,0.0,0.0,0.0,1.0,4.440000000000004,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,42
43,0.5888056994271736,0.3631400478126284,0.5674107580594535,121.32316106929866,0.5492264416315049,0.0,0.0,0.0,1.0,4.320000000000004,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,43
44,0.5982536648110455,0.3581678714843814,0.6577124137597177,140.93148644922599,0.5632911392405063,0.0,0.0,0.0,1.0,4.200000000000004,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,44
45,0.6008476856668366,0.3535863923333703,0.6938035082442366,147.39964148753032,0.5773558368495079,0.0,0.0,0.0,1.0,4.080000000000004,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,45
46,0.6075710496355013,0.3621481686883725,0.8480577546997033,186.59877785107253,0.5914205344585093,0.0,0.0,0.0,1.0,3.9600000000000035,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,46
47,0.6150522734957395,0.3677215645070958,0.8191079979002077,185.25600477920077,0.6054852320675105,0.0,0.0,0.0,1.0,3.8400000000000034,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,47
48,0.6212914474502478,0.361115031067741,0.9023932531014884,202.4588570276421,0.619549929676512,0.0,0.0,0.0,1.0,3.7200000000000033,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,48
49,0.6238273579543706,0.3888488217922498,0.9451841014832332,229.27759215084706,0.6336146272855134,0.0,0.0,0.0,1.0,3.600000000000003,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,49
50,0.6295469913909895,0.4169151991356674,0.9352415551780684,245.47070861201996,0.647679324894515,0.0,0.0,0.0,1.0,3.480000000000003,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,50
51,0.6321594168918251,0.4409644842284509,0.9111137511048304,253.98193370235285,0.661744022503516,0.0,0.0,0.0,1.0,3.360000000000003,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,51
52,0.645730520591046,0.4852115610519554,0.8373796250203239,262.36436250693663,0.6758087201125176,0.0,0.0,0.0,1.0,3.240000000000003,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,52
53,0.6588763933505487,0.5068719808324978,0.5705430164618266,190.5419591204313,0.6898734177215191,0.0,0.0,0.0,1.0,3.1200000000000028,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,53
54,0.6738765590174036,0.5309220042879631,0.5133417604753807,183.66130695112162,0.7039381153305205,0.0,0.0,0.0,1.0,3.0000000000000027,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,54
55,0.694235009108701,0.5679773048683228,0.6792467871550888,267.8336168517093,0.7180028129395221,0.0,0.0,0.0,1.0,2.8800000000000026,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,55
56,0.7175313869874836,0.5705682171336207,0.8190496601858354,335.3194257587827,0.7320675105485235,0.0,0.0,0.0,1.0,2.7600000000000025,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,56
57,0.7334928887905218,0.6176216144625348,0.920511403271871,417.0110536512843,0.7461322081575247,0.0,0.0,0.0,1.0,2.6400000000000023,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,57
58,0.7456357472964422,0.6367422636450928,0.9585616044761512,455.10376359158744,0.7601969057665262,0.0,0.0,0.0,1.0,2.5200000000000022,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,58
59,0.7601301173797406,0.6526558247480142,0.9699203224434207,481.18071991141784,0.7742616033755273,0.0,0.0,0.0,1.0,2.400000000000002,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,59
60,0.7768238578608397,0.6715746870383945,0.9617920709367236,501.76234453382307,0.7883263009845288,0.0,0.0,0.0,1.0,2.280000000000002,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,60
61,0.7943965608310297,0.6831384761895358,0.9567535273119046,519.2137367435803,0.8023909985935302,0.0,0.0,0.0,1.0,2.160000000000002,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,61
62,0.8208931261940949,0.7033690796682395,0.983714619241748,567.9878129577995,0.8164556962025318,0.0,0.0,0.0,1.0,2.040000000000002,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,62
63,0.8324245083602598,0.7380238621412503,0.9876352080398264,606.7528511629788,0.8305203938115333,0.0,0.0,0.0,1.0,1.9200000000000017,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,63
64,0.854890248956651,0.7508030391582691,0.99,635.4356550927887,0.8445850914205347,0.0,0.0,0.0,1.0,1.8000000000000016,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,64
65,0.8691288491866245,0.7732881685717341,0.99,665.3661854799799,0.8586497890295363,0.0,0.0,0.0,1.0,1.6800000000000015,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,65
66,0.8776731818831673,0.8056862220807574,0.99,700.0578982317161,0.8727144866385373,0.0,0.0,0.0,1.0,1.5600000000000014,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,66
67,0.892768507584474,0.8209906294106272,0.99,725.6250331701659,0.8867791842475389,0.0,0.0,0.0,1.0,1.4400000000000013,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,67
68,0.9034679810152862,0.8372947651086307,0.99,748.9043208378893,0.90084388185654,0.0,0.0,0.0,1.0,1.3200000000000012,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,68
69,0.9212255764010254,0.8604486790899136,0.99,784.7406570545255,0.9149085794655416,0.0,0.0,0.0,1.0,1.200000000000001,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,69
70,0.9332477731135412,0.8958418709976879,0.99,827.6820068587559,0.928973277074543,0.0,0.0,0.0,1.0,1.080000000000001,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,70
71,0.9476163617802936,0.9211103207975734,0.99,864.130618882551,0.9430379746835444,0.0,0.0,0.0,1.0,0.9600000000000009,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,71
72,0.9634369950761402,0.9355705430795104,0.99,892.3496399792133,0.957102672292546,0.0,0.0,0.0,1.0,0.8400000000000007,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,72
73,0.9703350265717348,0.9541279829073352,0.99,916.5655636307525,0.9711673699015474,0.0,0.0,0.0,1.0,0.7200000000000006,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,73
74,0.9797106475000866,0.9864389862404084,0.99,956.7605301496303,0.9852320675105486,0.0,0.0,0.0,1.0,0.6000000000000005,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,74
75,0.99,0.99,0.9858248863252006,966.2069710873291,0.99929676511955,0.0,0.0,0.0,1.0,0.4800000000000004,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,75
76,0.99,0.99,0.985626762352849,966.0127897820272,1.0,0.0,0.0,0.0,1.0,0.3600000000000003,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,76
77,0.99,0.99,0.9862014324749946,966.5760239687422,1.0,0.0,0.0,0.0,1.0,0.2400000000000002,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,77
78,0.99,0.99,0.99,970.2989999999999,1.0,0.0,0.0,0.0,1.0,0.1200000000000001,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,78
79,0.99,0.99,0.99,970.2989999999999,1.0,0.0,0.0,0.0,1.0,0.0,real,-0.1200000000000001,0.07121593319413921,0,1000.0,0.9,True,79
